
2024/03/22 (16:54:38) | ===> btop++ v.1.3.2
2024/03/22 (16:54:38) | ERROR: Exception during Config::unlock() : _Map_base::at

2024/03/22 (16:54:47) | ===> btop++ v.1.3.2
2024/03/22 (16:54:47) | ERROR: Exception during Config::unlock() : _Map_base::at

2024/03/22 (16:54:58) | ===> btop++ v.1.3.2
2024/03/22 (16:54:58) | ERROR: Exception during Config::unlock() : _Map_base::at

2024/03/22 (16:55:19) | ===> btop++ v.1.3.2
2024/03/22 (16:55:19) | ERROR: Exception during Config::unlock() : _Map_base::at

2024/05/01 (16:02:07) | ===> btop++ v.1.3.2
2024/05/01 (16:02:07) | ERROR: Exception during Config::unlock() : _Map_base::at

2025/02/03 (11:12:31) | ===> btop++ v.1.3.2
2025/02/03 (11:12:31) | ERROR: Stall in Runner thread, restarting!
2025/02/03 (11:22:38) | ERROR: Stall in Runner thread, restarting!

2025/02/28 (00:07:41) | ===> btop++ v.1.3.2
2025/02/28 (00:07:41) | ERROR: Stall in Runner thread, restarting!
2025/02/28 (00:19:44) | ERROR: Stall in Runner thread, restarting!
2025/02/28 (00:19:51) | ERROR: Stall in Runner thread, restarting!
2025/02/28 (00:34:51) | ERROR: Stall in Runner thread, restarting!
2025/02/28 (00:35:00) | ERROR: Stall in Runner thread, restarting!
2025/02/28 (00:35:06) | ERROR: Stall in Runner thread, restarting!
2025/02/28 (00:49:18) | ERROR: Stall in Runner thread, restarting!
2025/02/28 (01:21:21) | ERROR: Stall in Runner thread, restarting!
2025/02/28 (01:33:45) | ERROR: Stall in Runner thread, restarting!
2025/02/28 (01:40:21) | ERROR: Stall in Runner thread, restarting!
2025/02/28 (02:07:51) | ERROR: Stall in Runner thread, restarting!

2025/03/04 (12:10:26) | ===> btop++ v.1.3.2
2025/03/04 (12:10:26) | ERROR: Stall in Runner thread, restarting!
2025/03/04 (12:10:41) | ERROR: Stall in Runner thread, restarting!
2025/03/04 (12:11:00) | ERROR: Stall in Runner thread, restarting!
2025/03/04 (12:11:11) | ERROR: Stall in Runner thread, restarting!
2025/03/04 (12:21:19) | ERROR: Stall in Runner thread, restarting!
2025/03/04 (12:21:26) | ERROR: Stall in Runner thread, restarting!
2025/03/04 (12:22:28) | ERROR: Stall in Runner thread, restarting!
2025/03/04 (12:23:24) | ERROR: Stall in Runner thread, restarting!
2025/03/04 (12:24:18) | ERROR: Stall in Runner thread, restarting!
2025/03/04 (12:25:00) | ERROR: Stall in Runner thread, restarting!
2025/03/04 (12:26:04) | ERROR: Stall in Runner thread, restarting!

2025/03/06 (00:07:42) | ===> btop++ v.1.3.2
2025/03/06 (00:07:42) | ERROR: Exception during Config::unlock() : _Map_base::at
